tree_code,image_id,acquisition_date,product_type,crown_area_m2,crown_diameter_m,pan_ndvi_mean,pan_ndvi_median,pan_ndvi_p10,pan_gndvi_mean,pan_savi_mean,analytic_ndvi_mean,analytic_gndvi_mean,analytic_savi_mean,final_ndvi_mean,health_index,canopy_density_score,fragmentation_score,shadow_fraction,anomaly_flag,recommended_action,red_mean,green_mean,blue_mean,nir_mean,review_status,review_source
KOG-THOELIEB-0212,pansharpened_reflectance_401e6b905b,2026-01-22,pansharpened_reflectance+manual_review,17.5,4.72,0.2793773412704468,0.27909788489341736,0.2561914622783661,0.38751834630966187,0.41898998618125916,,,,0.2793773412704468,25.9,0.7,0.45,0.0,True,"Field inspection: check irrigation, pruning, stress.",1008.8285522460938,790.7142944335938,590.7142944335938,1788.2427978515625,unreviewed,auto
KOG-THOELIEB-0213,pansharpened_reflectance_401e6b905b,2026-01-22,pansharpened_reflectance+manual_review,22.25,5.323,0.28235921263694763,0.2811211943626404,0.25502243638038635,0.4092472493648529,0.4234704375267029,,,,0.28235921263694763,30.5,0.742,0.471,0.0,True,"Field inspection: check irrigation, pruning, stress.",1146.494384765625,866.2808837890625,662.516845703125,2049.0224609375,unreviewed,auto
KOG-THOELIEB-0214,pansharpened_reflectance_401e6b905b,2026-01-22,pansharpened_reflectance+manual_review,23.75,5.499,0.28657808899879456,0.28337085247039795,0.2574012875556946,0.40164023637771606,0.4297880530357361,,,,0.28657808899879456,27.3,0.617,0.522,0.0,True,"Field inspection: check irrigation, pruning, stress.",997.5789184570312,778.0736694335938,586.9368286132812,1801.705322265625,unreviewed,auto
KOG-THOELIEB-0215,pansharpened_reflectance_401e6b905b,2026-01-22,pansharpened_reflectance+manual_review,25.0,5.642,0.28911328315734863,0.28233033418655396,0.2586226463317871,0.41759559512138367,0.43359827995300293,,,,0.28911328315734863,31.8,0.714,0.455,0.0,True,"Field inspection: check irrigation, pruning, stress.",1136.1400146484375,851.469970703125,632.8800048828125,2050.030029296875,unreviewed,auto
KOG-THOELIEB-0216,pansharpened_reflectance_401e6b905b,2026-01-22,pansharpened_reflectance+manual_review,25.0,5.642,0.3193920850753784,0.31015878915786743,0.26680609583854675,0.4241388738155365,0.4790079593658447,,,,0.3193920850753784,37.9,0.714,0.455,0.0,True,"Field inspection: check irrigation, pruning, stress.",1029.280029296875,806.8200073242188,589.3699951171875,1989.739990234375,unreviewed,auto
KOG-THOELIEB-0217,pansharpened_reflectance_401e6b905b,2026-01-22,pansharpened_reflectance+manual_review,18.5,4.853,0.2785802185535431,0.27684640884399414,0.2558518350124359,0.4029912054538727,0.41779470443725586,,,,0.2785802185535431,25.7,0.673,0.473,0.0,True,"Field inspection: check irrigation, pruning, stress.",1008.2567749023438,763.310791015625,543.2973022460938,1786.2838134765625,unreviewed,auto
KOG-THOELIEB-0218,pansharpened_reflectance_401e6b905b,2026-01-22,pansharpened_reflectance+manual_review,12.0,3.909,0.2791380286216736,0.2780606746673584,0.25432083010673523,0.3972949683666229,0.41863536834716797,,,,0.2791380286216736,29.8,0.762,0.411,0.0,True,"Field inspection: check irrigation, pruning, stress.",1063.8958740234375,813.1458129882812,606.0208129882812,1885.125,unreviewed,auto
KOG-THOELIEB-0219,pansharpened_reflectance_401e6b905b,2026-01-22,pansharpened_reflectance+manual_review,17.0,4.652,0.3021886944770813,0.30806785821914673,0.262318879365921,0.3966602087020874,0.4532110393047333,,,,0.3021886944770813,30.4,0.618,0.516,0.0,True,"Field inspection: check irrigation, pruning, stress.",1133.8382568359375,913.1029663085938,692.3529663085938,2107.191162109375,unreviewed,auto
KOG-THOELIEB-0220,pansharpened_reflectance_401e6b905b,2026-01-22,pansharpened_reflectance+manual_review,18.5,4.853,0.3087935447692871,0.3030799329280853,0.2607978582382202,0.39679378271102905,0.4631173014640808,,,,0.3087935447692871,31.8,0.617,0.52,0.0,True,"Field inspection: check irrigation, pruning, stress.",1143.189208984375,931.689208984375,697.5540771484375,2145.70263671875,unreviewed,auto
KOG-THOELIEB-0221,pansharpened_reflectance_401e6b905b,2026-01-22,pansharpened_reflectance+manual_review,17.0,4.652,0.2737157940864563,0.2731877267360687,0.25502490997314453,0.40410685539245605,0.41049692034721375,,,,0.2737157940864563,24.7,0.687,0.466,0.0,True,"Field inspection: check irrigation, pruning, stress.",1017.13232421875,770.6470336914062,579.6764526367188,1783.191162109375,unreviewed,auto
KOG-THOELIEB-0222,pansharpened_reflectance_401e6b905b,2026-01-22,pansharpened_reflectance+manual_review,16.75,4.618,0.27699559926986694,0.2779388129711151,0.25479575991630554,0.4166822135448456,0.4154335558414459,,,,0.27699559926986694,29.4,0.744,0.417,0.0,True,"Field inspection: check irrigation, pruning, stress.",1297.7462158203125,948.7611694335938,678.8507690429688,2284.880615234375,unreviewed,auto
KOG-THOELIEB-0223,pansharpened_reflectance_401e6b905b,2026-01-22,pansharpened_reflectance+manual_review,18.25,4.82,0.2716168165206909,0.2690391540527344,0.25285106897354126,0.38502827286720276,0.4073532223701477,,,,0.2716168165206909,24.3,0.664,0.566,0.0,True,"Field inspection: check irrigation, pruning, stress.",1051.4520263671875,816.6712036132812,593.1506958007812,1835.3424072265625,unreviewed,auto
KOG-THOELIEB-0224,pansharpened_reflectance_401e6b905b,2026-01-22,pansharpened_reflectance+manual_review,9.5,3.478,0.2845788896083832,0.28462058305740356,0.2597881555557251,0.38303524255752563,0.42676520347595215,,,,0.2845788896083832,30.9,0.844,0.391,0.0,True,"Field inspection: check irrigation, pruning, stress.",746.2105102539062,599.23681640625,434.5,1338.6842041015625,unreviewed,auto
KOG-THOELIEB-0225,pansharpened_reflectance_401e6b905b,2026-01-22,pansharpened_reflectance+manual_review,14.75,4.334,0.27539053559303284,0.2746153771877289,0.2523012161254883,0.40081149339675903,0.4130105674266815,,,,0.27539053559303284,25.1,0.67,0.487,0.0,True,"Field inspection: check irrigation, pruning, stress.",1002.8983154296875,756.3389892578125,577.3898315429688,1766.8983154296875,unreviewed,auto
KOG-THOELIEB-0226,pansharpened_reflectance_401e6b905b,2026-01-22,pansharpened_reflectance+manual_review,16.5,4.583,0.26463642716407776,0.26418426632881165,0.25267255306243896,0.42502570152282715,0.3969036638736725,,,,0.26463642716407776,26.9,0.733,0.426,0.0,True,"Field inspection: check irrigation, pruning, stress.",1508.0,1058.197021484375,747.257568359375,2586.939453125,unreviewed,auto
KOG-THOELIEB-0227,pansharpened_reflectance_401e6b905b,2026-01-22,pansharpened_reflectance+manual_review,14.5,4.297,0.2735763490200043,0.272251695394516,0.2541693449020386,0.3990664780139923,0.41029030084609985,,,,0.2735763490200043,28.7,0.716,0.438,0.0,True,"Field inspection: check irrigation, pruning, stress.",1013.1724243164062,764.1724243164062,533.27587890625,1774.4827880859375,unreviewed,auto
KOG-THOELIEB-0228,pansharpened_reflectance_401e6b905b,2026-01-22,pansharpened_reflectance+manual_review,13.25,4.107,0.272810161113739,0.27391472458839417,0.2542841136455536,0.4059063196182251,0.4091462790966034,,,,0.272810161113739,28.6,0.736,0.424,0.0,True,"Field inspection: check irrigation, pruning, stress.",1094.8868408203125,811.2264404296875,595.9056396484375,1915.0943603515625,unreviewed,auto
KOG-THOELIEB-0229,pansharpened_reflectance_401e6b905b,2026-01-22,pansharpened_reflectance+manual_review,12.25,3.949,0.2765164077281952,0.276113361120224,0.2555244565010071,0.40646594762802124,0.41470247507095337,,,,0.2765164077281952,29.3,0.766,0.399,0.0,True,"Field inspection: check irrigation, pruning, stress.",1125.938720703125,852.2857055664062,625.8571166992188,1978.061279296875,unreviewed,auto
KOG-THOELIEB-0230,pansharpened_reflectance_401e6b905b,2026-01-22,pansharpened_reflectance+manual_review,14.75,4.334,0.27954384684562683,0.27919113636016846,0.2570512890815735,0.38357290625572205,0.4192391335964203,,,,0.27954384684562683,29.9,0.728,0.428,0.0,True,"Field inspection: check irrigation, pruning, stress.",1001.3728637695312,794.1356201171875,568.1356201171875,1777.4576416015625,unreviewed,auto
KOG-THOELIEB-0231,pansharpened_reflectance_401e6b905b,2026-01-22,pansharpened_reflectance+manual_review,14.25,4.26,0.2751730680465698,0.27413126826286316,0.2545897662639618,0.37290167808532715,0.4126880466938019,,,,0.2751730680465698,29.0,0.814,0.38,0.0,True,"Field inspection: check irrigation, pruning, stress.",1062.859619140625,858.1578979492188,648.0,1868.8245849609375,unreviewed,auto
KOG-THOELIEB-0232,pansharpened_reflectance_401e6b905b,2026-01-22,pansharpened_reflectance+manual_review,15.0,4.37,0.27996355295181274,0.27812445163726807,0.257135272026062,0.3948823809623718,0.4198780357837677,,,,0.27996355295181274,30.0,0.857,0.348,0.0,True,"Field inspection: check irrigation, pruning, stress.",1140.433349609375,881.4000244140625,649.7166748046875,2026.449951171875,unreviewed,auto
